,title,url,category
27,Nhà Lồng Coffee,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20L%E1%BB%93ng%20Coffee&query_place_id=ChIJAasYgEATcTERB7rxd1bvPDc,cafe
28,HD Coffee,https://www.google.com/maps/search/?api=1&query=HD%20Coffee&query_place_id=ChIJzx2ZtFltcTER7JOTigKFtSY,cafe
29,Cafe The Sora,https://www.google.com/maps/search/?api=1&query=Cafe%20The%20Sora&query_place_id=ChIJPXtplVYTcTERK3dsvZuziwM,cafe
30,Chaos Dalat Coffee,https://www.google.com/maps/search/?api=1&query=Chaos%20Dalat%20Coffee&query_place_id=ChIJp4LYPvYTcTERFPi91L9RWAI,cafe
31,Dalat Hills Coffee,https://www.google.com/maps/search/?api=1&query=Dalat%20Hills%20Coffee&query_place_id=ChIJa1K5UMETcTERya4s5sNJf_Q,cafe
32,Đà Lạt Chill Homestay & Coffee,https://www.google.com/maps/search/?api=1&query=%C4%90%C3%A0%20L%E1%BA%A1t%20Chill%20Homestay%20%26%20Coffee&query_place_id=ChIJVxwkCyITcTERmHnXCs_rBhg,cafe
33,pétit Dưỡng,https://www.google.com/maps/search/?api=1&query=p%C3%A9tit%20D%C6%B0%E1%BB%A1ng&query_place_id=ChIJt6sbJQATcTER63xcBxbIpAI,cafe
34,THẢO HIỀN QUÁN ĐÀ LẠT,https://www.google.com/maps/search/?api=1&query=TH%E1%BA%A2O%20HI%E1%BB%80N%20QU%C3%81N%20%C4%90%C3%80%20L%E1%BA%A0T&query_place_id=ChIJg3vBLiQTcTERmGQQU6t7J5I,restaurant
35,Thiên Hà Coffee & House,https://www.google.com/maps/search/?api=1&query=Thi%C3%AAn%20H%C3%A0%20Coffee%20%26%20House&query_place_id=ChIJOx6M88NtcTERiMo6ZehOMKI,cafe
36,B21 Cuisine,https://www.google.com/maps/search/?api=1&query=B21%20Cuisine&query_place_id=ChIJMWCrRykTcTERURY7YHaUWdY,cafe
37,The Blackout Dalat,https://www.google.com/maps/search/?api=1&query=The%20Blackout%20Dalat&query_place_id=ChIJ42Br7y0TcTER1fPRZ6HJQCc,cafe
38,Đà Lạt View,https://www.google.com/maps/search/?api=1&query=%C4%90%C3%A0%20L%E1%BA%A1t%20View&query_place_id=ChIJt0EWeAATcTERkSAcfLZoDBs,cafe
39,Tiệm Nướng Lửng Lơ - Tiệm Nướng View Đồi Thông Đà Lạt,https://www.google.com/maps/search/?api=1&query=Ti%E1%BB%87m%20N%C6%B0%E1%BB%9Bng%20L%E1%BB%ADng%20L%C6%A1%20-%20Ti%E1%BB%87m%20N%C6%B0%E1%BB%9Bng%20View%20%C4%90%E1%BB%93i%20Th%C3%B4ng%20%C4%90%C3%A0%20L%E1%BA%A1t&query_place_id=ChIJfyqdg-UTcTERHixw_42hUYI,restaurant
40,Mizu Bar Dalat,https://www.google.com/maps/search/?api=1&query=Mizu%20Bar%20Dalat&query_place_id=ChIJM0hkW1JtcTERpcbSG1-tm8E,cafe
41,HuyEco Coffee & Culture,https://www.google.com/maps/search/?api=1&query=HuyEco%20Coffee%20%26%20Culture&query_place_id=ChIJwzR3AskTcTERCqsOBG_wJCA,cafe
42,Sunshine Coffee Dalat,https://www.google.com/maps/search/?api=1&query=Sunshine%20Coffee%20Dalat&query_place_id=ChIJNyjkLT0TcTERXICsT96afYc,cafe
43,3PM Café & Pastry,https://www.google.com/maps/search/?api=1&query=3PM%20Caf%C3%A9%20%26%20Pastry&query_place_id=ChIJT5hIBQATcTERKTZk0AU9OrI,cafe
44,Genji Coffee & Homestay,https://www.google.com/maps/search/?api=1&query=Genji%20Coffee%20%26%20Homestay&query_place_id=ChIJ25qBM8ZtcTERhOWIxLO42o8,cafe
45,Thôn Yang Kỳ - Đà Lạt,https://www.google.com/maps/search/?api=1&query=Th%C3%B4n%20Yang%20K%E1%BB%B3%20-%20%C4%90%C3%A0%20L%E1%BA%A1t&query_place_id=ChIJ5T9TFAATcTER3NnkTYmT8qA,restaurant
46,Still Cafe,https://www.google.com/maps/search/?api=1&query=Still%20Cafe&query_place_id=ChIJawxt4R4TcTERR3yVdgtMhbI,cafe
47,The Fog On Site,https://www.google.com/maps/search/?api=1&query=The%20Fog%20On%20Site&query_place_id=ChIJBaiIQCkTcTERzXZTS4XoxVM,cafe
48,Coffee Bên Đồi,https://www.google.com/maps/search/?api=1&query=Coffee%20B%C3%AAn%20%C4%90%E1%BB%93i&query_place_id=ChIJxxA2WNZtcTERypNzHcOWe1g,cafe
49,MIRK,https://www.google.com/maps/search/?api=1&query=MIRK&query_place_id=ChIJt-scMq8TcTERYYLtR05dF7k,cafe
50,Cardinal Bistro_Wedding-Dalat,https://www.google.com/maps/search/?api=1&query=Cardinal%20Bistro_Wedding-Dalat&query_place_id=ChIJk7d6ThkTcTERaJ9uVfTgzy4,restaurant
51,Cà phê Vườn Yên,https://www.google.com/maps/search/?api=1&query=C%C3%A0%20ph%C3%AA%20V%C6%B0%E1%BB%9Dn%20Y%C3%AAn&query_place_id=ChIJWxwKZWYTcTER27HdsHgYHQA,cafe
52,L'amour Sky Lounge | Nông trại tươi xanh & vườn dâu trên cao tại Ladalat Hotel,https://www.google.com/maps/search/?api=1&query=L'amour%20Sky%20Lounge%20%7C%20N%C3%B4ng%20tr%E1%BA%A1i%20t%C6%B0%C6%A1i%20xanh%20%26%20v%C6%B0%E1%BB%9Dn%20d%C3%A2u%20tr%C3%AAn%20cao%20t%E1%BA%A1i%20Ladalat%20Hotel&query_place_id=ChIJPYkmNZ0TcTERim7HJVWSQzk,cafe
53,Vườn của Cún - Puppy's Garden,https://www.google.com/maps/search/?api=1&query=V%C6%B0%E1%BB%9Dn%20c%E1%BB%A7a%20C%C3%BAn%20-%20Puppy's%20Garden&query_place_id=ChIJDxU1C0ATcTERTbto3xI_mHM,cafe
54,The Balcony Speakeasy Bar,https://www.google.com/maps/search/?api=1&query=The%20Balcony%20Speakeasy%20Bar&query_place_id=ChIJS6FEOm0TcTERHxodOsgYh1I,cafe
55,Một Ngày Thật Vui Đà Lạt,https://www.google.com/maps/search/?api=1&query=M%E1%BB%99t%20Ng%C3%A0y%20Th%E1%BA%ADt%20Vui%20%C4%90%C3%A0%20L%E1%BA%A1t&query_place_id=ChIJEdr7Sx0TcTERztoqbosPzy4,restaurant
56,Dalat Golf Cafe - Cafe ngắm view toàn cảnh thành phố Đà Lạt,https://www.google.com/maps/search/?api=1&query=Dalat%20Golf%20Cafe%20-%20Cafe%20ng%E1%BA%AFm%20view%20to%C3%A0n%20c%E1%BA%A3nh%20th%C3%A0nh%20ph%E1%BB%91%20%C4%90%C3%A0%20L%E1%BA%A1t&query_place_id=ChIJDZPBJ_UTcTERaDvpNSsRA5c,cafe
57,Cà Phê Amelie,https://www.google.com/maps/search/?api=1&query=Ca%CC%80%20Ph%C3%AA%20Amelie&query_place_id=ChIJq0VExc4TcTERAsyOeanTtLg,cafe
58,Khu Vườn Mùa Hè,https://www.google.com/maps/search/?api=1&query=Khu%20V%C6%B0%E1%BB%9Dn%20M%C3%B9a%20H%C3%A8&query_place_id=ChIJ5QlCZ6MTcTERODxqPibUdc0,cafe
59,Phố Cổ Đà Lạt,https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%91%20C%E1%BB%95%20%C4%90%C3%A0%20L%E1%BA%A1t&query_place_id=ChIJIbTeL9wTcTERqJBS3rx3Urw,restaurant
60,Cafe Doc Nha Bo,https://www.google.com/maps/search/?api=1&query=Cafe%20Doc%20Nha%20Bo&query_place_id=ChIJFXokMAATcTERcLaZrN9mwlQ,cafe
61,Mình Có Hẹn ở Đây - Coffee,https://www.google.com/maps/search/?api=1&query=M%C3%ACnh%20C%C3%B3%20H%E1%BA%B9n%20%E1%BB%9F%20%C4%90%C3%A2y%20-%20Coffee&query_place_id=ChIJsQUxXz0TcTERbeX_3UDYswY,cafe
62,Hilly Garden Đà Lạt,https://www.google.com/maps/search/?api=1&query=Hilly%20Garden%20%C4%90%C3%A0%20L%E1%BA%A1t&query_place_id=ChIJo2WNU68TcTERF0mOJrgrC9s,restaurant
63,Thông ơi coffee,https://www.google.com/maps/search/?api=1&query=Th%C3%B4ng%20%C6%A1i%20coffee&query_place_id=ChIJFwqwFIUTcTERKChSusMNlgU,cafe
64,D'Lart Garden Drinking & Dining,https://www.google.com/maps/search/?api=1&query=D'Lart%20Garden%20Drinking%20%26%20Dining&query_place_id=ChIJtfwqqeYTcTEREXwyaKrCUlo,cafe
65,Lưng Chừng,https://www.google.com/maps/search/?api=1&query=L%C6%B0ng%20Ch%E1%BB%ABng&query_place_id=ChIJZ8sUWjoTcTERhSOY6-GbGSA,cafe
